CLASS           RARITY          EXPANSION           MANA AND NAME
----------      ----------      ----------          ----------
NONE            BASIC           CLASSIC             1 Elven Archer
NONE            BASIC           CLASSIC             1 Goldshire Footman
NONE            BASIC           CLASSIC             1 Grimscale Oracle
NONE            BASIC           CLASSIC             1 Murloc Raider
NONE            BASIC           CLASSIC             1 Stonetusk Boar
NONE            BASIC           CLASSIC             1 Voodoo Doctor
NONE            BASIC           CLASSIC             2 Acidic Swamp Ooze
NONE            BASIC           CLASSIC             2 Bloodfen Raptor
NONE            BASIC           CLASSIC             2 Bluegill Warrior
NONE            BASIC           CLASSIC             2 Frostwolf Grunt
NONE            BASIC           CLASSIC             2 Kobold Geomancer
NONE            BASIC           CLASSIC             2 Murloc Tidehunter
NONE            BASIC           CLASSIC             2 Novice Engineer
NONE            BASIC           CLASSIC             2 River Crocolisk
NONE            BASIC           CLASSIC             3 Dalaran Mage
NONE            BASIC           CLASSIC             3 Ironforge Rifleman
NONE            BASIC           CLASSIC             3 Ironfur Grizzly
NONE            BASIC           CLASSIC             3 Magma Rager
NONE            BASIC           CLASSIC             3 Raid Leader
NONE            BASIC           CLASSIC             3 Razorfen Hunter
NONE            BASIC           CLASSIC             3 Shattered Sun Cleric
NONE            BASIC           CLASSIC             3 Silverback Patriarch
NONE            BASIC           CLASSIC             3 Wolfrider
NONE            BASIC           CLASSIC             4 Chillwind Yeti
NONE            BASIC           CLASSIC             4 Dragonling Mechanic
NONE            BASIC           CLASSIC             4 Gnomish Inventor
NONE            BASIC           CLASSIC             4 Oasis Snapjaw
NONE            BASIC           CLASSIC             4 Ogre Magi
NONE            BASIC           CLASSIC             4 Sen'jin Shieldmasta
NONE            BASIC           CLASSIC             4 Stormwind Knight
NONE            BASIC           CLASSIC             5 Booty Bay Bodyguard
NONE            BASIC           CLASSIC             5 Darkscale Healer
NONE            BASIC           CLASSIC             5 Frostwolf Warlord
NONE            BASIC           CLASSIC             5 Gurubashi Berserker
NONE            BASIC           CLASSIC             5 Nightblade
NONE            BASIC           CLASSIC             5 Stormpike Commando
NONE            BASIC           CLASSIC             6 Archmage
NONE            BASIC           CLASSIC             6 Boulderfist Ogre
NONE            BASIC           CLASSIC             6 Lord of the Arena
NONE            BASIC           CLASSIC             6 Reckless Rocketeer
NONE            BASIC           CLASSIC             7 Core Hound
NONE            BASIC           CLASSIC             7 Stormwind Champion
NONE            BASIC           CLASSIC             7 War Golem
NONE            COMMON          CLASSIC             0 Wisp
NONE            COMMON          CLASSIC             1 Abusive Sergeant
NONE            COMMON          CLASSIC             1 Argent Squire
NONE            COMMON          CLASSIC             1 Leper Gnome
NONE            COMMON          CLASSIC             1 Shieldbearer
NONE            COMMON          CLASSIC             1 Southsea Deckhand
NONE            COMMON          CLASSIC             1 Worgen Infiltrator
NONE            COMMON          CLASSIC             1 Young Dragonhawk
NONE            COMMON          CLASSIC             2 Amani Berserker
NONE            COMMON          CLASSIC             2 Bloodsail Raider
NONE            COMMON          CLASSIC             2 Dire Wolf Alpha
NONE            COMMON          CLASSIC             2 Faerie Dragon
NONE            COMMON          CLASSIC             2 Ironbeak Owl
NONE            COMMON          CLASSIC             2 Loot Hoarder
NONE            COMMON          CLASSIC             2 Mad Bomber
NONE            COMMON          CLASSIC             2 Youthful Brewmaster
NONE            COMMON          CLASSIC             3 Acolyte of Pain
NONE            COMMON          CLASSIC             3 Earthen Ring Farseer
NONE            COMMON          CLASSIC             3 Flesheating Ghoul
NONE            COMMON          CLASSIC             3 Harvest Golem
NONE            COMMON          CLASSIC             3 Jungle Panther
NONE            COMMON          CLASSIC             3 Raging Worgen
NONE            COMMON          CLASSIC             3 Scarlet Crusader
NONE            COMMON          CLASSIC             3 Tauren Warrior
NONE            COMMON          CLASSIC             3 Thrallmar Farseer
NONE            COMMON          CLASSIC             4 Ancient Brewmaster
NONE            COMMON          CLASSIC             4 Cult Master
NONE            COMMON          CLASSIC             4 Dark Iron Dwarf
NONE            COMMON          CLASSIC             4 Dread Corsair
NONE            COMMON          CLASSIC             4 Mogu'shan Warden
NONE            COMMON          CLASSIC             4 Silvermoon Guardian
NONE            COMMON          CLASSIC             4 Spellbreaker
NONE            COMMON          CLASSIC             5 Fen Creeper
NONE            COMMON          CLASSIC             5 Silver Hand Knight
NONE            COMMON          CLASSIC             5 Spiteful Smith
NONE            COMMON          CLASSIC             5 Stranglethorn Tiger
NONE            COMMON          CLASSIC             5 Venture Co. Mercenary
NONE            COMMON          CLASSIC             6 Frost Elemental
NONE            COMMON          CLASSIC             6 Priestess of Elune
NONE            COMMON          CLASSIC             6 Windfury Harpy
NONE            COMMON          NAXXRAMAS           1 Undertaker
NONE            COMMON          NAXXRAMAS           1 Zombie Chow
NONE            COMMON          NAXXRAMAS           2 Haunted Creeper
NONE            COMMON          NAXXRAMAS           2 Mad Scientist
NONE            COMMON          NAXXRAMAS           2 Nerub'ar Weblord
NONE            COMMON          NAXXRAMAS           2 Unstable Ghoul
NONE            COMMON          NAXXRAMAS           3 Dancing Swords
NONE            COMMON          NAXXRAMAS           3 Stoneskin Gargoyle
NONE            COMMON          NAXXRAMAS           5 Spectral Knight
NONE            COMMON          GvG                 1 Clockwork Gnome
NONE            COMMON          GvG                 1 Cogmaster
NONE            COMMON          GvG                 2 Annoy-o-Tron
NONE            COMMON          GvG                 2 Explosive Sheep
NONE            COMMON          GvG                 2 Gilblin Stalker
NONE            COMMON          GvG                 2 Mechwarper
NONE            COMMON          GvG                 2 Micro Machine
NONE            COMMON          GvG                 2 Puddlestomper
NONE            COMMON          GvG                 2 Ship's Cannon
NONE            COMMON          GvG                 2 Stonesplinter Trogg
NONE            COMMON          GvG                 3 Flying Machine
NONE            COMMON          GvG                 3 Gnomeregan Infantry
NONE            COMMON          GvG                 3 Ogre Brute
NONE            COMMON          GvG                 3 Spider Tank
NONE            COMMON          GvG                 3 Tinkertown Technician
NONE            COMMON          GvG                 4 Burly Rockjaw Trogg
NONE            COMMON          GvG                 4 Lost Tallstrider
NONE            COMMON          GvG                 4 Mechanical Yeti
NONE            COMMON          GvG                 4 Piloted Shredder
NONE            COMMON          GvG                 5 Antique Healbot
NONE            COMMON          GvG                 5 Salty Dog
NONE            COMMON          GvG                 8 Force-Tank MAX
NONE            COMMON          BM                  3 Blackwing Technician
NONE            COMMON          BM                  4 Dragonkin Sorcerer
NONE            COMMON          BM                  4 Hungry Dragon
NONE            COMMON          BM                  5 Blackwing Corruptor
NONE            COMMON          BM                  6 Drakonid Crusher
NONE            COMMON          BM                  6 Volcanic Drake
NONE            RARE            CLASSIC             1 Angry Chicken
NONE            RARE            CLASSIC             1 Bloodsail Corsair
NONE            RARE            CLASSIC             1 Lightwarden
NONE            RARE            CLASSIC             1 Murloc Tidecaller
NONE            RARE            CLASSIC             1 Secretkeeper
NONE            RARE            CLASSIC             1 Young Priestess
NONE            RARE            CLASSIC             2 Ancient Watcher
NONE            RARE            CLASSIC             2 Crazed Alchemist
NONE            RARE            CLASSIC             2 Knife Juggler
NONE            RARE            CLASSIC             2 Mana Addict
NONE            RARE            CLASSIC             2 Mana Wraith
NONE            RARE            CLASSIC             2 Master Swordsmith
NONE            RARE            CLASSIC             2 Pint-Sized Summoner
NONE            RARE            CLASSIC             2 Sunfury Protector
NONE            RARE            CLASSIC             2 Wild Pyromancer
NONE            RARE            CLASSIC             3 Alarm-o-Bot
NONE            RARE            CLASSIC             3 Arcane Golem
NONE            RARE            CLASSIC             3 Coldlight Oracle
NONE            RARE            CLASSIC             3 Coldlight Seer
NONE            RARE            CLASSIC             3 Demolisher
NONE            RARE            CLASSIC             3 Emperor Cobra
NONE            RARE            CLASSIC             3 Imp Master
NONE            RARE            CLASSIC             3 Injured Blademaster
NONE            RARE            CLASSIC             3 Mind Control Tech
NONE            RARE            CLASSIC             3 Questing Adventurer
NONE            RARE            CLASSIC             4 Ancient Mage
NONE            RARE            CLASSIC             4 Defender of Argus
NONE            RARE            CLASSIC             4 Twilight Drake
NONE            RARE            CLASSIC             4 Violet Teacher
NONE            RARE            CLASSIC             5 Abomination
NONE            RARE            CLASSIC             5 Azure Drake
NONE            RARE            CLASSIC             5 Stampeding Kodo
NONE            RARE            CLASSIC             6 Argent Commander
NONE            RARE            CLASSIC             6 Gadgetzan Auctioneer
NONE            RARE            CLASSIC             6 Sunwalker
NONE            RARE            CLASSIC             7 Ravenholdt Assassin
NONE            RARE            NAXXRAMAS           2 Nerubian Egg
NONE            RARE            NAXXRAMAS           3 Deathlord
NONE            RARE            NAXXRAMAS           4 Wailing Soul
NONE            RARE            NAXXRAMAS           5 Sludge Belcher
NONE            RARE            GvG                 0 Target Dummy
NONE            RARE            GvG                 3 Gnomish Experimenter
NONE            RARE            GvG                 3 Goblin Sapper
NONE            RARE            GvG                 3 Illuminator
NONE            RARE            GvG                 3 Lil' Exorcist
NONE            RARE            GvG                 4 Arcane Nullifier X-21
NONE            RARE            GvG                 4 Jeeves
NONE            RARE            GvG                 4 Kezan Mystic
NONE            RARE            GvG                 5 Bomb Lobber
NONE            RARE            GvG                 5 Madder Bomber
NONE            RARE            BM                  1 Dragon Egg
NONE            RARE            BM                  5 Grim Patron
NONE            EPIC            CLASSIC             1 Hungry Crab
NONE            EPIC            CLASSIC             2 Doomsayer
NONE            EPIC            CLASSIC             3 Big Game Hunter
NONE            EPIC            CLASSIC             3 Blood Knight
NONE            EPIC            CLASSIC             3 Murloc Warleader
NONE            EPIC            CLASSIC             3 Southsea Captain
NONE            EPIC            CLASSIC             5 Faceless Manipulator
NONE            EPIC            CLASSIC             10 Sea Giant
NONE            EPIC            CLASSIC             12 Mountain Giant
NONE            EPIC            CLASSIC             20 Molten Giant
NONE            EPIC            NAXXRAMAS           2 Echoing Ooze
NONE            EPIC            NAXXRAMAS           3 Shade of Naxxramas
NONE            EPIC            GvG                 2 Recombobulator
NONE            EPIC            GvG                 3 Hobgoblin
NONE            EPIC            GvG                 4 Enhance-o Mechano
NONE            EPIC            GvG                 4 Mini-Mage
NONE            EPIC            GvG                 5 Fel Reaver
NONE            EPIC            GvG                 5 Junkbot
NONE            EPIC            GvG                 6 Piloted Sky Golem
NONE            EPIC            GvG                 12 Clockwork Giant
NONE            LEGENDARY       CLASSIC             2 Bloodmage Thalnos
NONE            LEGENDARY       CLASSIC             2 Lorewalker Cho
NONE            LEGENDARY       CLASSIC             2 Millhouse Manastorm
NONE            LEGENDARY       CLASSIC             2 Nat Pagle
NONE            LEGENDARY       CLASSIC             3 King Mukla
NONE            LEGENDARY       CLASSIC             3 Tinkmaster Overspark
NONE            LEGENDARY       CLASSIC             5 Captain Greenskin
NONE            LEGENDARY       CLASSIC             5 Harrison Jones
NONE            LEGENDARY       CLASSIC             5 Leeroy Jenkins
NONE            LEGENDARY       CLASSIC             6 Cairne Bloodhoof
NONE            LEGENDARY       CLASSIC             6 Hogger
NONE            LEGENDARY       CLASSIC             6 Illidan Stormrage
NONE            LEGENDARY       CLASSIC             6 Sylvanas Windrunner
NONE            LEGENDARY       CLASSIC             6 The Beast
NONE            LEGENDARY       CLASSIC             6 The Black Knight
NONE            LEGENDARY       CLASSIC             7 Baron Geddon
NONE            LEGENDARY       CLASSIC             8 Gruul
NONE            LEGENDARY       CLASSIC             8 Ragnaros the Firelord
NONE            LEGENDARY       CLASSIC             9 Alexstrasza
NONE            LEGENDARY       CLASSIC             9 Malygos
NONE            LEGENDARY       CLASSIC             9 Nozdormu
NONE            LEGENDARY       CLASSIC             9 Onyxia
